,date,value,buySell
0,1986-01-02,220.0,-1
1,1986-01-06,220.0,0
2,1986-01-07,230.01,0
3,1986-01-08,231.0,0
4,1986-01-08,263.34,0
5,1986-01-09,230.0,0
6,1986-01-09,125.8,0
7,1986-01-10,251.0,0
8,1986-01-13,250.0,0
9,1986-01-13,150.0,0
10,1986-01-14,250.0,0
11,1986-01-14,150.0,0
12,1986-01-15,250.0,0
13,1986-01-15,283.75,0
14,1986-01-16,250.0,0
15,1986-01-17,240.0,1
16,1986-01-20,240.0,-1
17,1986-01-21,240.0,0
18,1986-01-22,240.0,0
19,1986-01-23,200.0,0
20,1986-01-24,205.0,0
21,1986-01-24,100.0,0
22,1986-01-27,220.0,0
23,1986-01-28,240.0,0
24,1986-01-29,210.0,0
25,1986-01-29,100.0,0
26,1986-01-30,200.0,0
27,1986-01-31,200.0,0
28,1986-02-03,200.0,0
29,1986-02-04,230.0,0
30,1986-02-04,259.9,0
31,1986-02-05,230.0,0
32,1986-02-06,230.0,0
33,1986-02-06,258.29,0
34,1986-02-06,115.0,0
35,1986-02-07,240.0,0
36,1986-02-07,150.0,0
37,1986-02-13,250.0,0
38,1986-02-14,260.0,0
39,1986-02-17,250.0,0
40,1986-02-18,265.01,0
41,1986-02-19,265.0,0
42,1986-02-20,262.01,0
43,1986-02-20,120.0,0
44,1986-02-21,265.01,0
45,1986-02-24,265.0,0
46,1986-02-24,130.0,0
47,1986-02-25,267.0,0
48,1986-02-27,272.0,0
49,1986-03-04,300.01,0
50,1986-03-05,300.0,0
51,1986-03-05,323.44,0
52,1986-03-06,311.0,0
53,1986-03-06,155.0,0
54,1986-03-07,310.0,0
55,1986-03-07,150.0,0
56,1986-03-12,320.0,0
57,1986-03-13,310.0,0
58,1986-03-14,320.0,0
59,1986-03-14,160.0,0
60,1986-03-17,320.0,0
61,1986-03-18,310.0,0
62,1986-03-19,340.0,0
63,1986-03-20,340.0,0
64,1986-03-21,400.0,0
65,1986-03-24,380.0,0
66,1986-03-31,340.0,0
67,1986-04-01,320.0,0
68,1986-04-01,331.21,0
69,1986-04-01,160.0,0
70,1986-04-02,320.0,0
71,1986-04-03,335.0,0
72,1986-04-03,150.0,0
73,1986-04-04,350.0,0
74,1986-04-04,150.0,0
75,1986-04-07,350.0,0
76,1986-04-07,200.0,0
77,1986-04-08,330.0,0
78,1986-04-08,170.0,0
79,1986-04-09,330.0,0
80,1986-04-09,175.0,0
81,1986-04-10,330.0,0
82,1986-04-10,175.0,0
83,1986-04-11,355.0,0
84,1986-04-14,380.0,0
85,1986-04-14,393.3,0
86,1986-04-15,380.0,0
87,1986-04-16,355.0,0
88,1986-04-17,352.0,1
89,1986-04-17,175.0,-1
90,1986-04-18,360.0,0
91,1986-04-22,330.0,0
92,1986-04-23,350.0,0
93,1986-04-24,350.0,0
94,1986-04-25,360.0,0
95,1986-04-25,379.6,0
96,1986-04-28,357.0,0
